car_id,car_name,airbags,aircon,doors,groups,seats,transmission,mileage,rental_price_per_day
729671401,Dacia Lodgy,1,1,5,Standard,7,Manual,Unlimited km,17744.01
729671406,Dacia Lodgy,1,1,5,Standard,7,Manual,Unlimited km,17743.4
695616471,Fiat Panda,1,1,4,Mini,4,Manual,Unlimited km,4342.65
729019571,Audi  Q3,1,1,4,Intermediate,5,Automatic,Unlimited km,6715.26
741325301,Hyundai i10,1,1,4,Mini,5,Manual,Unlimited km,4289.05
706593251,Fiat Egea,1,1,4,Intermediate,5,Automatic,Unlimited km,5934.05
747325071,Renault Zoe,1,1,4,Economy,5,Automatic,1000 kilometres per rental,4106.53
741327001,Mercedes C-Class,1,1,5,Premium,5,Automatic,Unlimited km,10377.62
741322751,BMW 5-series,1,1,4,Premium,5,Automatic,Unlimited km,13622.99
723698936,Mercedes C-Class,1,1,4,Premium,5,Automatic,Unlimited km,10589.93
730225286,Renault Megane Sedan,1,1,5,Compact,5,Automatic,1000 kilometres per rental,4267.45
695616831,Renault Symbol,1,1,4,Compact,5,Manual,Unlimited km,4482.41
695616881,Peugeot 301,1,1,4,Compact,5,Manual,Unlimited km,4549.2
699764746,Fiat Doblo,1,1,5,Compact,5,Manual,Unlimited km,4731.57
719247801,Peugeot 3008,1,1,4,Full-size,5,Automatic,1000 kilometres per rental,7095.06
695616931,Hyundai Accent,1,1,4,Compact,5,Automatic,Unlimited km,5324.37
747298591,Renault Clio,1,1,4,Economy,5,Automatic,1000 kilometres per rental,4293.13
695617211,Jeep Renegade,1,1,4,Intermediate,5,Manual,Unlimited km,7661.35
652785531,Opel Grandland X,1,1,4,Intermediate,5,Automatic,Unlimited km,7894.74
693772806,Mercedes Vito,1,1,4,Full-size,8,Manual,3000 kilometres per rental,13686.39
743155891,Mercedes Vito,1,1,4,Full-size,9,Automatic,3000 kilometres per rental,14630.1
729703121,Kia Stonic,1,1,5,Compact,5,Automatic,Unlimited km,5156.2
730225451,Volvo XC60,1,1,4,Premium,5,Automatic,1000 kilometres per rental,15683.16
741577036,BMW iX,1,1,4,Luxury,5,Automatic,Unlimited km,24982.71
741342316,BMW iX3,1,1,5,Luxury,5,Automatic,Unlimited km,18515.32
730225306,Renault Megane,1,1,4,Compact,5,Automatic,1000 kilometres per rental,4673.86
729541916,Opel Mokka,1,1,4,Compact,5,Automatic,3000 kilometres per rental,5424.19
701981133,Audi A3,1,1,2,Intermediate,5,Automatic,Unlimited km,6715.26
741328701,BMW X1,1,1,4,Standard,5,Automatic,Unlimited km,9883.53
714873426,Citroen C-Elysee,1,1,5,Compact,5,Manual,Unlimited km,5178.95
714892421,BMW 5 Series,1,1,4,Luxury,5,Automatic,Unlimited km,13901.43
741340611,BMW iX,1,1,4,Intermediate,5,Automatic,Unlimited km,24483.47
695617281,Jeep Renegade,1,1,4,Intermediate,5,Automatic,Unlimited km,8673.01
729703111,Ford Kuga,1,1,5,Standard,5,Automatic,Unlimited km,7582.65
748033501,Dacia Duster,1,1,4,Compact,5,Automatic,Unlimited km,5921.05
745175926,Renault Captur,1,1,5,Compact,5,Automatic,Unlimited km,5921.05
726344691,Jeep Compass,1,1,4,Full-size,5,Automatic,Unlimited km,9626.32
716205531,BMW 3 Series,1,1,4,Premium,5,Automatic,1000 kilometres per rental,8182.35
741337216,Toyota C-HR,1,1,5,Compact,5,Automatic,Unlimited km,5277.22
729703101,Kia Sportage,1,1,5,Intermediate,5,Automatic,Unlimited km,7582.65
714867426,Renault Clio,1,1,4,Economy,5,Manual,Unlimited km,5277.22
699765456,Renault Kadjar,1,1,5,Intermediate,5,Automatic,Unlimited km,8492.57
723691736,Hyundai i10,1,1,2,Mini,4,Manual,Unlimited km,4932.36
729671376,Hyundai i20,1,1,5,Economy,5,Manual,Unlimited km,5187.14
729671336,Hyundai i20,1,1,5,Economy,5,Manual,Unlimited km,5188.05
741091351,Alfa Romeo Tonale,1,0,4,Intermediate,5,Automatic,Unlimited km,13221.84
747285471,Fiat Egea,1,1,4,Compact,5,Automatic,1000 kilometres per rental,4845.22
741321051,BMW 2 Series,1,1,4,Intermediate,5,Automatic,Unlimited km,7784.65
680483916,Renault Megane,1,1,4,Intermediate,5,Automatic,3000 kilometres per rental,5972.44
695617161,Fiat Doblo,1,1,4,Compact,5,Manual,Unlimited km,9170.2
680483856,Opel  Astra,1,0,4,Intermediate,5,Manual,3000 kilometres per rental,5626.9
695617111,Toyota Corolla,1,1,4,Intermediate,5,Automatic,Unlimited km,7892.87
739403191,Porsche Macan,1,1,4,Special,5,Automatic,Unlimited km,23652.64
729671381,Peugeot 301,1,1,4,Intermediate,5,Manual,Unlimited km,5189.87
729671351,Citroen C4-Elysee,1,1,4,Intermediate,5,Manual,Unlimited km,5190.48
730225401,Mercedes C-Class,1,1,4,Premium,5,Automatic,1000 kilometres per rental,11685.42
730225411,BMW 3 Series,1,1,4,Premium,5,Automatic,1000 kilometres per rental,9840.42
743071631,Hyundai i10,1,1,5,Mini,5,Manual,Unlimited km,5186.53
743071726,Kia Picanto,1,1,5,Mini,4,Manual,Unlimited km,5187.75
714879431,BMW 2 Series,1,1,4,Intermediate,5,Automatic,Unlimited km,7943.89
705853281,Audi A3 Saloon - Sedan,1,1,4,Intermediate,5,Automatic,Unlimited km,7885.96
730225431,Volvo XC90,1,1,4,Luxury,7,Automatic,1000 kilometres per rental,19602.92
734489471,Audi Q3 Sportback,1,1,5,Standard,5,Automatic,Unlimited km,9099.18
747320151,Kia Stonic,1,1,4,Compact,5,Automatic,1000 kilometres per rental,5758.2
695616761,Fiat Tipo Estate,1,1,4,Compact,5,Manual,Unlimited km,5971.29
729703106,Skoda Superb,1,1,5,Standard,5,Automatic,Unlimited km,7582.65
735432461,Fiat Tipo Aegea,1,1,5,Compact,5,Manual,Unlimited km,5188.66
735432591,Fiat Tipo Aegea,1,1,5,Compact,5,Manual,Unlimited km,5189.26
723664451,Ford Focus,1,1,4,Compact,5,Manual,Unlimited km,6591.75
733120061,BMW iX3,1,1,5,Special,5,Automatic,Unlimited km,18892.93
735024301,Volkswagen Passat,1,1,4,Standard,5,Automatic,1000 kilometres per rental,7872.32
730225341,Skoda Superb,1,1,4,Standard,5,Automatic,1000 kilometres per rental,7872.32
740314041,Audi  Q3,1,1,4,Intermediate,5,Manual,1000 kilometres per rental,11070.2
744317741,Volkswagen Passat Estate,1,1,4,Standard,5,Automatic,1000 kilometres per rental,7872.32
745540581,BMW 2 Series,1,1,4,Intermediate,5,Automatic,1000 kilometres per rental,7402.97
741321901,BMW 1 Series,1,1,4,Compact,5,Automatic,Unlimited km,7403.09
714891221,BMW 1 Series,1,1,4,Compact,5,Automatic,Unlimited km,7554.14
635676543,Mercedes E-Class,1,1,4,Luxury,5,Automatic,800 kilometres per rental,12900.87
748466906,Volvo XC60,1,1,4,Full-size,5,Automatic,4000 kilometres per rental,13396.91
729671361,BMW 5 Series,1,1,4,Luxury,5,Automatic,Unlimited km,43403.09
748067571,Dacia Duster,1,1,4,Compact,5,Manual,Unlimited km,9497.07
748067556,Fiat Egea,1,1,4,Intermediate,5,Manual,Unlimited km,12662.63
748067361,Fiat Egea,1,1,4,Intermediate,5,Automatic,Unlimited km,15219.58
748067596,Renault Megane,1,1,4,Intermediate,5,Automatic,Unlimited km,10836.01
729542816,Toyota Corolla Hybrid,1,1,4,Compact,5,Automatic,3000 kilometres per rental,6564.85
748067371,Dacia Duster,1,1,4,Compact,5,Automatic,Unlimited km,10957.72
730225396,Audi A3,1,1,4,Compact,5,Automatic,1000 kilometres per rental,6765.14
716203691,Mini Cooper,1,1,4,Economy,5,Automatic,1000 kilometres per rental,6941.48
729671366,Mercedes C-Class,1,1,4,Premium,5,Automatic,Unlimited km,43130.12
743071526,Peugeot 3008,1,1,5,Intermediate,5,Automatic,Unlimited km,27297.54
729671356,Nissan Qashqai,1,1,5,Intermediate,5,Automatic,Unlimited km,12917.2
748067386,Renault Clio,1,1,4,Economy,5,Automatic,Unlimited km,11445.01
748067406,Hyundai i20,1,1,4,Economy,5,Manual,Unlimited km,12053.62
729671331,Hyundai i20,1,1,5,Economy,5,Automatic,Unlimited km,10472.85
729671391,Hyundai i10,1,1,5,Mini,4,Automatic,Unlimited km,10633.91
729671346,Skoda Octavia,1,1,5,Intermediate,5,Automatic,Unlimited km,27297.54
729671416,Peugeot 301,1,1,4,Intermediate,5,Automatic,Unlimited km,10475.28
743071576,Peugeot 2008,1,1,5,Compact,5,Automatic,Unlimited km,54595.09
743071676,Peugeot 2008,1,1,5,Compact,5,Automatic,Unlimited km,27297.54
729671321,Renault Megane,1,1,5,Compact,5,Automatic,Unlimited km,11968.76
735434046,Fiat Tipo Aegea,1,1,5,Compact,5,Automatic,Unlimited km,10474.07
721437206,Volkswagen Polo,1,1,4,Economy,5,Manual,600 kilometres per rental,64.76
721437256,Citroen C3 Aircross,1,1,5,Intermediate,5,Manual,600 kilometres per rental,70.64
721437201,Fiat 500,1,1,3,Mini,4,Manual,600 kilometres per rental,62.57
721437231,Peugeot 308,1,1,4,Compact,5,Manual,600 kilometres per rental,72.97
742098346,Citroen DS3,1,1,4,Compact,5,Automatic,600 kilometres per rental,98.0
721445086,Citroen DS7,1,1,5,Standard,5,Automatic,600 kilometres per rental,125.39
742098196,BMW 1 Series,1,1,4,Compact,5,Manual,600 kilometres per rental,100.35
735738571,Ford Tourneo,1,1,4,Luxury,9,Manual,400 kilometres per rental,471.48
721437291,Fiat 500 Cabrio,1,1,2,Mini,4,Manual,600 kilometres per rental,100.13
713866581,Volkswagen T-Roc,1,1,4,Intermediate,5,Manual,Unlimited km,209.41
713866616,Ford Tourneo,1,1,4,Standard,9,Manual,Unlimited km,523.87
713866611,Ford Tourneo,1,1,4,Standard,9,Automatic,Unlimited km,890.63
713866666,Ford Kuga,1,1,4,Standard,5,Manual,Unlimited km,250.51
713866576,Volkswagen T-Roc,1,1,5,Intermediate,5,Automatic,Unlimited km,250.32
714347966,Ford Tourneo,1,1,4,Luxury,9,Automatic,Unlimited km,878.75
735738421,Ford Tourneo,1,1,4,Luxury,9,Automatic,Unlimited km,790.87
713866686,Ford Kuga,1,1,4,Standard,5,Automatic,Unlimited km,286.29
714348156,Ford Tourneo,1,1,4,Luxury,9,Manual,400 kilometres per rental,523.87
721437336,Renault Trafic,1,1,5,Standard,9,Manual,600 kilometres per rental,1351.67
721437321,Peugeot 5008,1,1,4,Standard,7,Manual,600 kilometres per rental,938.65
739348891,Polestar 2,1,1,5,Premium,5,Automatic,600 kilometres per rental,213.46
564630883,Citroen DS7,1,1,5,Standard,5,Automatic,600 kilometres per rental,261.3
735739771,Ford Kuga,1,1,4,Standard,5,Manual,600 kilometres per rental,225.46
714351386,Ford Kuga,1,1,4,Standard,5,Manual,600 kilometres per rental,250.51
735739621,Ford Kuga,1,0,4,Standard,5,Automatic,600 kilometres per rental,257.66
713866706,Skoda Superb Estate,1,1,4,Standard,5,Manual,Unlimited km,278.33
714346256,Volkswagen T-Roc,1,1,4,Intermediate,5,Manual,600 kilometres per rental,209.41
649260918,Ford Kuga,1,1,4,Intermediate,5,Manual,800 kilometres per rental,284.73
713866601,Volkswagen Passat Estate,1,1,4,Intermediate,5,Manual,Unlimited km,275.58
710751021,Nissan Qashqai,1,1,4,Intermediate,5,Automatic,500 kilometres per rental,248.33
710751016,Nissan Qashqai,1,1,4,Intermediate,5,Manual,500 kilometres per rental,243.52
739346171,Polestar 2,1,1,5,Premium,5,Automatic,600 kilometres per rental,247.48
564630853,Ford Fiesta,1,1,4,Economy,5,Manual,600 kilometres per rental,159.33
713866511,Opel Corsa,1,1,4,Economy,5,Manual,Unlimited km,196.25
670555456,Ford Kuga,1,1,4,Intermediate,5,Manual,800 kilometres per rental,245.12
649277678,Ford Kuga,1,1,4,Intermediate,5,Manual,600 kilometres per rental,250.69
678122056,Ford Kuga GPS,1,1,4,Intermediate,5,Manual,800 kilometres per rental,256.42
744190306,Seat Ateca,1,1,4,Intermediate,5,Automatic,400 kilometres per rental,272.74
735737671,Volkswagen T-Roc,1,1,4,Intermediate,5,Manual,600 kilometres per rental,188.47
659780411,Opel Astra,1,1,4,Compact,5,Manual,600 kilometres per rental,168.02
713866566,Volkswagen Passat   ,1,1,4,Intermediate,5,Automatic,Unlimited km,286.29
713866571,Volkswagen Passat,1,1,4,Intermediate,5,Manual,Unlimited km,275.58
713866661,Skoda Superb,1,1,4,Standard,5,Manual,Unlimited km,275.58
713866656,Skoda Superb,1,1,4,Standard,5,Automatic,Unlimited km,286.29
665651336,Ford Kuga,1,1,4,Intermediate,5,Manual,600 kilometres per rental,231.0
714351006,Ford Kuga,1,0,4,Standard,5,Automatic,600 kilometres per rental,286.29
713866476,Volkswagen Golf,1,1,4,Compact,5,Manual,Unlimited km,201.35
677982871,Ford Fiesta,1,1,4,Economy,5,Manual,600 kilometres per rental,151.36
735735271,Volkswagen Golf,1,1,4,Compact,5,Manual,600 kilometres per rental,181.21
564630848,Opel Adam,1,1,2,Mini,4,Manual,600 kilometres per rental,150.76
659780406,Opel Adam,1,1,2,Mini,4,Manual,600 kilometres per rental,143.38
713866526,Volvo XC60,1,1,5,Premium,5,Automatic,Unlimited km,426.34
564630863,Ford Focus GPS,1,1,4,Compact,5,Manual,600 kilometres per rental,186.39
735736171,Opel Corsa,1,1,4,Economy,5,Manual,600 kilometres per rental,176.62
664260386,Seat Ateca,1,1,4,Intermediate,5,Manual,600 kilometres per rental,291.47
713866626,Toyota Aygo,1,1,4,Mini,4,Manual,Unlimited km,177.77
713866486,Seat Arona,1,1,5,Compact,5,Manual,Unlimited km,207.4
735735571,Seat Arona,1,1,5,Compact,5,Manual,600 kilometres per rental,186.66
735738721,Toyota Aygo,1,1,3,Mini,4,Manual,600 kilometres per rental,159.99
710750981,Renault Captur,1,1,4,Compact,5,Manual,500 kilometres per rental,191.61
694121091,Volkswagen Touran,1,1,4,Intermediate,5,Automatic,600 kilometres per rental,600.97
708198466,Audi Q5,1,1,4,Premium,5,Automatic,600 kilometres per rental,460.08
743844231,Volkswagen T-Roc,1,0,5,Compact,5,Automatic,Unlimited km,287.56
677960641,Opel Astra,1,1,4,Compact,5,Manual,800 kilometres per rental,199.78
713866481,Seat Arona,1,0,5,Compact,5,Automatic,Unlimited km,247.84
743855796,Volkswagen T-Cross,1,1,4,Compact,5,Automatic,Unlimited km,265.09
670550031,Ford Fiesta,1,1,4,Economy,5,Manual,800 kilometres per rental,195.8
735740221,Skoda Superb Estate,1,1,4,Standard,5,Manual,600 kilometres per rental,250.5
718807761,Audi Q5,1,1,4,Premium,5,Automatic,600 kilometres per rental,421.99
593767463,Volkswagen Polo   ,1,1,2,Economy,4,Manual,600 kilometres per rental,206.48
720817396,Mercedes C-Class GPS,1,1,4,Full-size,5,Automatic,400 kilometres per rental,300.11
735736321,Audi A4,1,1,4,Full-size,5,Manual,600 kilometres per rental,295.14
735953576,Audi A4,1,1,4,Full-size,5,Automatic,600 kilometres per rental,295.14
720494451,Mercedes E-Class GPS,1,1,4,Luxury,5,Automatic,Unlimited km,353.69
714330176,Opel Corsa,1,1,4,Economy,5,Manual,600 kilometres per rental,196.25
713866651,Audi A6 Estate,1,1,4,Luxury,5,Manual,Unlimited km,459.12
720494501,Citroen C5,1,1,4,Intermediate,5,Manual,Unlimited km,273.87
